"local","salary","department","tools","else_need","url"
"台北市中山區","月薪40,000~80,000元"," 應用數學相關、數理統計相關 "," 不拘 "," 未填寫 ","https://www.104.com.tw/job/79117?jobsource=jolist_a_relevance"
"台北市中山區","月薪35,000~50,000元"," 市場行銷相關、資訊管理相關、數理統計相關 "," 不拘 "," 有一年以上工作經驗
具備資料庫分析經驗
擁有不同數據類型的分析經驗
瞭解並喜歡研究網路行銷、社群操作
對機器學習和統計數據分析有興趣
願意團隊合作，能溝通協調
對數據資料有敏感度且有熱情
能閱讀英文文件加分
 ","https://www.104.com.tw/job/5944x?jobsource=jolist_a_relevance"
"台中市北區","月薪30,000~60,000元"," 資訊管理相關 ","Python、R、Tableau贊助提升專業能力"," 普通重型機車 ","https://www.104.com.tw/job/6ki4b?jobsource=jolist_a_relevance"
"台北市大安區","月薪40,000~60,000元"," 不拘 ","Python、ETL、MS SQL、MySQL、Tableau、Google Analytics、Google Tag Manager、Google Data Studio、Power BI<U+200B>贊助提升專業能力"," 未填寫 ","https://www.104.com.tw/job/788p9?jobsource=jolist_a_relevance"
"台北市大安區","月薪50,000元以上"," 不拘 ","Python、ETL、MS SQL、MySQL、Tableau、Google Analytics、Google Tag Manager、Google Data Studio、Power BI<U+200B>贊助提升專業能力"," 未填寫 ","https://www.104.com.tw/job/788pg?jobsource=jolist_a_relevance"
"台北市松山區","月薪35,000~55,000元"," 數學及電算機科學學科類 ","Python、R贊助提升專業能力"," 1. 具2年以上資料分析經驗。
2. 具邏輯力、溝通能力，可獨立進行會議簡報。
3. 個性主動積極，主動學習者。
4. 能獨立處理及解決問題。
5.知道如何使用 git 尤佳。
 ","https://www.104.com.tw/job/6k2x6?jobsource=jolist_a_relevance"
"台北市松山區","月薪35,000元以上"," 數理統計相關、資訊工程相關 "," 不拘 "," 未填寫 ","https://www.104.com.tw/job/6vdp2?jobsource=jolist_a_relevance"
"台中市西屯區","月薪32,000~60,000元"," 數理統計相關、統計學相關、資訊管理相關 ","C、C#、C++、Java、Matlab、Python、R、Excel、PowerPoint贊助提升專業能力"," 1.	有使用R、Tableau、PowerBi、Google Data Studio、Google Sheet、Google Slides、SQL(DQL)使用經驗尤佳 
2.	R、Java、C、C++、C#、Python、Matlab至少熟悉其中一項的使用 
3.	有Data Mining、Machine Learning概念尤佳 
4.	必須攜帶以下文件應試 
i.	自薦信 
ii.	自傳 
5.	攜帶以下文件應試者尤佳: 
i.	在學期間成績單 (大學以上) 
ii.	大學專題、碩士論文、已發表的期刊或會議論文 
iii.	應試者自行準備的分析報告 (主題不拘，紙本或應試當日簡報皆可)
 ","https://www.104.com.tw/job/6j51q?jobsource=jolist_a_relevance"
"台南市永康區","月薪38,000~42,000元"," 經濟學相關、統計學相關、數理統計相關 "," 不拘 "," 未填寫 ","https://www.104.com.tw/job/6y9f6?jobsource=jolist_a_relevance"
"台北市中山區","月薪28,000~35,000元"," 不拘 "," 不拘 "," 1. 具Excel、Word、PPT製作能力
2. 對數字敏感&細心 ","https://www.104.com.tw/job/6z1o9?jobsource=jolist_a_relevance"
"台北市大安區","月薪40,000~60,000元"," 不拘 ","Excel、Google Analytics贊助提升專業能力"," 1. 對區塊鏈技術有濃厚興趣，相關工作經驗
2. 具有B端/平臺類產品用戶數據分析和項目進行研究規劃和設計的能力
3. 具有良好的邏輯思維、快速回應能力、強大的執行力和獨立思考能力 ","https://www.104.com.tw/job/793ta?jobsource=jolist_a_relevance"
"台北市松山區","月薪35,000元以上"," 一般數學相關、應用數學相關 ","MySQL、Excel、PowerPoint、Word、Power BI<U+200B>贊助提升專業能力"," 【職務條件】
須熟悉Tableau / Power BI數據應用操作分析 ","https://www.104.com.tw/job/775vu?jobsource=jolist_a_relevance"
"新北市中和區","月薪35,000~70,000元"," 資訊管理相關、資訊工程相關 ","Python、HTML、jQuery、Tableau、Power BI<U+200B>贊助提升專業能力"," 1.擅長工具 :SQL 語法 , Python ,  HTML , jQuery , SSAS  , SSIS 
2.具Hadoop 、MongoDB 經驗佳 
3.具機器學習、深度學習經驗佳
4.熟悉 Microsoft Power BI, Tableau等 


 ","https://www.104.com.tw/job/6rok5?jobsource=jolist_a_relevance"
"台中市南區","月薪34,000元以上"," 不拘 "," 不拘 "," 有資料庫實務經驗
擅長統計分析
臨床醫護經驗 ","https://www.104.com.tw/job/77va2?jobsource=jolist_a_relevance"
"台北市信義區","月薪35,000~41,000元"," 不拘 "," 不拘 "," 1.大學(含)以上畢業。
2.具市場調查經驗、調查報告分析與撰寫能力,並對數據分析有熱忱。
3.具備雲端Data Pipeline/資料庫管理觀念及資料倉儲專業知識與工具技術，熟悉SQL語法、ETL、商業智慧軟體、數據分析工具R或Python。
4.制訂和執行資料商務模組開發、優化模組效能。
5.能自我學習新科技新服務或工具的能力，必要時能獨立作業。 ","https://www.104.com.tw/job/6zoti?jobsource=jolist_a_relevance"
"台中市梧棲區","月薪32,000~55,000元"," 資訊工程相關、數理統計相關、生物學相關 "," 不拘 "," 1.碩士以上，資訊工程、數理或生物統計等相關科系畢，有健保大數據或醫療院所HIS資料處理經驗者優先考慮。
2.具備電腦專長：SAS、Python、R語言。

特別提醒：
1.合者於一週內以電話或電子郵件通知面試,履歷不合及面試結果未錄取者恕不通知
2..面試時請帶最高學歷畢業證書影本一份
3.應屆畢業生請附上最高學歷(碩士或大學)的成績單 ","https://www.104.com.tw/job/6t08n?jobsource=jolist_a_relevance"
"新北市中和區","月薪30,000~44,000元"," 不拘 "," 不拘 "," 1. 大學以上畢業
2. 熟悉 R 或 Python 與其相關套件佳
3. 中文打字每分鐘40字以上
4. 有服務熱誠、細心、反應靈活 ","https://www.104.com.tw/job/4m2t0?jobsource=jolist_a_relevance"
"台中市南區","月薪50,000~60,000元"," 不拘 ","Python、R、Excel、PowerPoint、SPSS贊助提升專業能力"," 未填寫 ","https://www.104.com.tw/job/7a385?jobsource=jolist_a_relevance"
"台北市大安區","月薪32,000~40,000元"," 商業及管理學科類、大眾傳播學科類、經濟社會及心理學科類 "," 不拘 "," 1. 具簡報與報告製作能力，能以文書或圖像化表達
2. 對資料分析有熱忱、喜歡定義問題並加以解答、喜歡接觸多元產業領域
3. 若具以下經驗，歡迎加註於自我推薦信中，並提供相關資料
- 行銷、廣告、公關、市場研究、資料分析等相關領域實務經驗
- 實際應用統計或分析工具之經驗 ","https://www.104.com.tw/job/5qu4l?jobsource=jolist_a_relevance"
"台北市南港區","月薪38,000~40,000元"," 統計學相關、食品科學相關、公共衛生相關 ","Python、R、SAS、SPSS贊助提升專業能力"," 1.良好之溝通能力、積極有責任感、抗壓性高。
2.具備資料探勘、機器學習演算法、大數據分析相關經驗尤佳，熟悉SQL並取得證書尤佳，並需提供相關證明文件。
3.熟悉任一項統計軟體R、Python、SAS、SPSS尤佳
4.曾分析過健保資料或醫療領域資料經驗尤佳  ","https://www.104.com.tw/job/76wdy?jobsource=jolist_a_relevance"
"台北市大安區","月薪40,000元以上"," 不拘 ","Python、ETL、MS SQL、MySQL、Tableau、Google Analytics、Google Tag Manager、Google Data Studio、Power BI<U+200B>贊助提升專業能力"," 未填寫 ","https://www.104.com.tw/job/788pi?jobsource=jolist_a_relevance"
"新北市板橋區","月薪28,000~36,000元"," 不拘 ","Excel、PowerPoint、Word贊助提升專業能力"," 其他條件
1. 具備良好之溝通、協調及表達能力
2. 對投資分析有興趣
3. 已考過 金融大數據資訊分析證照 尤佳
4. 有財經相關背景尤佳 ","https://www.104.com.tw/job/7ap79?jobsource=jolist_a_relevance"
"台北市松山區","月薪42,000元以上"," 資訊管理相關、數理統計相關、資訊工程相關 ","Java、Python贊助提升專業能力"," 此為校園徵才專區職缺，將於收到履歷後，轉推薦需求主管後安排面試。
若符合以下條件尤佳：
1.熟悉Python
2.熟悉R語言
3.熟悉java
4.需熟悉Excel、PowerPoint、Word操作 ","https://www.104.com.tw/job/7786p?jobsource=jolist_a_relevance"
"台北市中正區","月薪29,000~38,000元"," 不拘 ","Python、MS SQL贊助提升專業能力"," 1.邏輯性強，有數據分析相關概念
2.擅長一種以上數據分析工具(如：R、Python等)
3.具備敏銳的觀察力，樂於嘗試新的分析技術或做法，給予營運決策上之建議
4.相關工作經驗2年以上，但如果你對數據分析極具熱忱，也歡迎投遞！
【加分條件】
如果你還具備以下條件，那就更好了！
1.	會簡單的coding
2.	樂於了解前端使用者的需求
3.	能接受人來瘋的辦公環境
4.	能接受輕鬆的工作氛圍同時任務也不delay
5.	對於新創團隊有興趣且嚮往
 ","https://www.104.com.tw/job/7awod?jobsource=jolist_a_relevance"
"新北市板橋區","月薪35,000~45,000元"," 其他商業及管理相關、經濟學相關、資訊工程相關 ","Python、Excel、Tableau贊助提升專業能力"," 
1.具備良好之溝通、協調及表達能力， 願意自己動手做
2.熟練使用統計分析工具，邏輯嚴謹，能夠獨立分析和解決問題
3.喜好挑戰未知領域
4.有python與tableau使用經驗 ","https://www.104.com.tw/job/6yeso?jobsource=jolist_a_relevance"
"台北市信義區","月薪40,000~45,000元"," 不拘 ","MS SQL、SAS贊助提升專業能力"," 未填寫 ","https://www.104.com.tw/job/6f8fx?jobsource=jolist_a_relevance"
"新北市板橋區","月薪35,000~68,000元"," 數學及電算機科學學科類、資訊管理相關 "," 不拘 "," 1. 需具備 TCP/IP 基礎知識。
2. 需熟悉 Excel。
3. 需對網路與資訊安全有熱情。

 ","https://www.104.com.tw/job/79obn?jobsource=jolist_a_relevance"
"台北市中正區","月薪36,000元以上"," 不拘 ","Excel、Google Analytics、Google Tag Manager、Google Display Network、Google Trend贊助提升專業能力"," Google Analytics (分析) 個人認證資格、Google Adwords 認證、Google Ads 搜尋廣告認證、Google Ads 多媒體廣告認證、Google Ads 影片廣告認證 ","https://www.104.com.tw/job/78via?jobsource=jolist_a_relevance"
"台北市信義區","月薪34,000~54,000元"," 不拘 ","Excel、PowerPoint、Word、中文打字20~50、英文打字20~50贊助提升專業能力"," 持有「數位人才探索計畫」相關證照申請者有優先面試機會 （機器學習課程，詳情請洽數位人才探索計畫網站） ","https://www.104.com.tw/job/79ypd?jobsource=jolist_a_relevance"
"台中市梧棲區","月薪30,000~40,000元"," 不拘 ","Excel、Internet Explorer、PowerPoint、Word、Google Analytics、Google Tag Manager、Google Display Network、Google Trend、Google Data Studio贊助提升專業能力"," Google Analytics (分析) 個人認證資格、Google Adwords 認證、Google Ads 搜尋廣告認證、Google Ads 多媒體廣告認證、Google Ads 影片廣告認證 ","https://www.104.com.tw/job/74gjv?jobsource=jolist_a_relevance"
"台北市大安區","月薪32,000~40,000元"," 不拘 ","PowerPoint、Word贊助提升專業能力"," 未填寫 ","https://www.104.com.tw/job/5akbv?jobsource=jolist_a_relevance"
"台北市信義區","月薪32,000~45,000元"," 不拘 ","Excel、PowerPoint贊助提升專業能力"," 未填寫 ","https://www.104.com.tw/job/6q9fs?jobsource=jolist_a_relevance"
"台北市大安區","年薪1,500,000~2,500,000元"," 不拘 ","Python、AWS贊助提升專業能力"," 未填寫 ","https://www.104.com.tw/job/6ivms?jobsource=jolist_a_relevance"
"台北市士林區","月薪28,000~40,000元"," 建築及都市規劃學科類、其他商業及管理相關、統計學相關 ","Excel、PowerPoint、Word、SPSS贊助提升專業能力"," 1.大學以上，都市計畫、地政、土地管理、不動產或產經相關科系畢尤佳
2.具1年以上不動產業務、估價、金融等相關工作經驗尤佳
3.具研究熱忱、溝通表達能力良好
4.統計分析擅長尤佳
 ","https://www.104.com.tw/job/76s5e?jobsource=jolist_a_relevance"
"台北市南港區","月薪26,000~32,000元"," 不拘 ","Excel、PowerPoint、Word贊助提升專業能力"," Google Analytics (分析) 個人認證資格、Google Adwords 認證、Google Ads 搜尋廣告認證、Google Ads 多媒體廣告認證、Google Ads 影片廣告認證 ","https://www.104.com.tw/job/76cu6?jobsource=jolist_a_relevance"
