"local","salary","department","tools","else_need","url"
"台北市內湖區","待遇面議"," 統計學相關 ","Python、MySQL贊助提升專業能力"," 基本條件：
1.	具python，R或其他程式語言的經驗
2.	具有關聯式資料庫查詢語句的經驗，如MS SQL，MySQL，HQL
3.	具有數據可視化相關套件的經驗，例如Matplotlib, Scipy
4.	願意學習和分享新技術
5.	具有團隊合作精神

加分條件：
1.	具Hadoop 生態系統的使用經驗，如HBase，Hive
2.	具自動化測試經驗
3.	紮實的統計知識
4.	2年以上與數據分析相關的工作經驗
 ","https://www.104.com.tw/job/76f27?jobsource=jolist_c_relevance"
"台北市中山區","月薪40,000~80,000元"," 應用數學相關、數理統計相關 "," 不拘 "," 未填寫 ","https://www.104.com.tw/job/79117?jobsource=jolist_c_relevance"
"台北市松山區","月薪42,000元以上"," 資訊管理相關、數理統計相關、資訊工程相關 ","Java、Python贊助提升專業能力"," 此為校園徵才專區職缺，將於收到履歷後，轉推薦需求主管後安排面試。
若符合以下條件尤佳：
1.熟悉Python
2.熟悉R語言
3.熟悉java
4.需熟悉Excel、PowerPoint、Word操作 ","https://www.104.com.tw/job/7786p?jobsource=jolist_c_relevance"
"台中市北區","月薪30,000~60,000元"," 資訊管理相關 ","Python、R、Tableau贊助提升專業能力"," 普通重型機車 ","https://www.104.com.tw/job/6ki4b?jobsource=jolist_c_relevance"
"台北市松山區","月薪35,000~55,000元"," 數學及電算機科學學科類 ","Python、R贊助提升專業能力"," 1. 具2年以上資料分析經驗。
2. 具邏輯力、溝通能力，可獨立進行會議簡報。
3. 個性主動積極，主動學習者。
4. 能獨立處理及解決問題。
5.知道如何使用 git 尤佳。
 ","https://www.104.com.tw/job/6k2x6?jobsource=jolist_c_relevance"
"台北市中山區","待遇面議"," 統計學相關、資訊管理相關、其他商業及管理相關 ","Python、R、MySQL、Excel、Google Analytics、Google Tag Manager、Firebase、SAS贊助提升專業能力"," 未填寫 ","https://www.104.com.tw/job/6sxgk?jobsource=jolist_c_relevance"
"台北市中山區","待遇面議"," 不拘 ","UNIX、Python贊助提升專業能力"," 基本條件:
* 具備內容行銷知識或實務經驗
* 能夠從抽象的商業需求定義體的分析問題
* 能夠根據不同商業目標定義對應的成效指標
* 具備統計知識
* SQL 查詢與報表彙整能力
* 清晰的表達與團隊合作能力

加分條件:
* 了解數位廣告產業
* 了解網站追蹤相關技術
* BigQuery/DataStudio/Redash 等查詢工具使用經驗
* R/Python/PySpark 實作能力

擅長工具:
* Google Analytics
* Google Data Studio
* Bigquery
* Redash
* Python
 ","https://www.104.com.tw/job/5nrrd?jobsource=jolist_c_relevance"
"台北市中山區","月薪35,000~50,000元"," 市場行銷相關、資訊管理相關、數理統計相關 "," 不拘 "," 有一年以上工作經驗
具備資料庫分析經驗
擁有不同數據類型的分析經驗
瞭解並喜歡研究網路行銷、社群操作
對機器學習和統計數據分析有興趣
願意團隊合作，能溝通協調
對數據資料有敏感度且有熱情
能閱讀英文文件加分
 ","https://www.104.com.tw/job/5944x?jobsource=jolist_c_relevance"
"台北市松山區","待遇面議"," 不拘 ","Python、PostgreSQL贊助提升專業能力"," Requirements
- Strong problem-solving skills to help refine problem statements and figure out how to solve problems with available data.
- Strong verbal, visual, and written communication skills.
- Strong proficiency in SQL relational databases (PostgreSQL)
- Strong proficiency in Python and PyData Stack (pandas, NumPy, SciPy, Matplotlib, Jupyter, Scikit-Learn)
- Humble with a growth mindset.
- Applicant needs to provide a portfolio (GitHub, blog, website, document, etc.)
- Nice to have：
  ˙Background in Li-ion battery.
  ˙Background in engineering.
  ˙Experience building web applications.
  ˙Experience building machine learning models in a production environment.
 ","https://www.104.com.tw/job/7a116?jobsource=jolist_c_relevance"
"台北市松山區","待遇面議"," 資訊工程相關、數理統計相關、統計學相關 ","Sass贊助提升專業能力"," o	5年以上相關工作經驗 (金融業)
o	數學、統計、電腦科學、資訊科學、軟體工程相關學科或背景
o	具SAS (精通), R, Python 程式撰寫能力
o	具網路爬蟲與機器學習建模及傳統統計建模經驗，熟悉GBDT、協同過濾、LSTM等演算法；或熟悉文字探勘工作，如關鍵字提取、情感分析、內容摘要及視覺化呈現等
o	學習能力佳、擅長溝通且能獨立解決問題 ","https://www.104.com.tw/job/73pmy?jobsource=jolist_c_relevance"
