"local","salary","department","tools","else_need","url"
"台北市中山區","待遇面議"," 不拘 "," 不拘 "," 未填寫 ","https://www.104.com.tw/job/5vv2u?jobsource=jolist_b_relevance"
"台北市信義區","待遇面議"," 不拘 "," 不拘 "," 1. 熟悉 Python, BigQuery, SQL(PostgreSQL, MSSQL)
2. 熟悉 Linux 服務、基礎網路概念
3. 熟悉 Linux 系統、Shell Script
4. 熟悉 GCP 
5. 熟悉 Oauth2 
6. 使用過 airflow, 雲端服務使用經驗
 ","https://www.104.com.tw/job/70zza?jobsource=jolist_b_relevance"
"台北市中山區","待遇面議"," 不拘 ","Linux、PHP、MySQL、HTML、JavaScript贊助提升專業能力"," 【公司福利】 
* 年終獎金 
* 端午節、中秋節禮盒
* 週休二日 
* 享勞健保 
* 按月提撥6%勞工退休金 
* 辦公室提供飲料及點心供同仁享用  ","https://www.104.com.tw/job/5bwie?jobsource=jolist_b_relevance"
"台北市中山區","待遇面議"," 不拘 ","Linux、Github、Jenkins、Git、C#、Java、Go、MySQL、AWS贊助提升專業能力","  
【Other Conditions】 :
-Please attached your portfolio link if any-

【Bonus Conditions (Not necessarily)】 :
1.	代碼重構 / Refactor
2.	設計模式 / Design pattern
3.	Docker
4.	MVC
5.	Linux 環境架設與程式佈署
Experience in Linux build environment establishing, software deployment 
6.	雲端佈署經驗 AWS, Azure, Linode, Digitial Ocean 
Cloud Deployment experience 
7.	有串接第三方金流、社群媒體、電商相關經驗
With experience in connecting third party payment, social media, e-commerce 
 ","https://www.104.com.tw/job/5vmmq?jobsource=jolist_b_relevance"
"台北市中正區","月薪35,000元以上"," 不拘 "," 不拘 "," 未填寫 ","https://www.104.com.tw/job/747n2?jobsource=jolist_b_relevance"
"台北市中山區","月薪35,000~70,000元"," 不拘 "," 不拘 "," 未填寫 ","https://www.104.com.tw/job/3x3i2?jobsource=jolist_b_relevance"
"台中市烏日區","待遇面議"," 不拘 ","Linux、Git、Python、Django贊助提升專業能力"," 加分條件:
1、後端開發經驗
2、Django Rest framework框架
3、RESTful API 設計及實作經驗與後端 API 開發經驗

Soft skills:
1、邏輯清晰，追求最佳自動化測試
2、溝通能力良好，能確保需求規格落地執行
3、積極主動，充滿好奇心、樂於學習新的技術
4、具備團隊合作精神
 ","https://www.104.com.tw/job/793ve?jobsource=jolist_b_relevance"
"台北市中正區","待遇面議"," 資訊工程相關、數理統計相關、其他數學及電算機科學相關 ","PHP、Python、Node.js贊助提升專業能力"," 未填寫 ","https://www.104.com.tw/job/781uy?jobsource=jolist_b_relevance"
"新北市中和區","待遇面議"," 不拘 ","OOP、Git、ASP.NET、C#、PHP、MS SQL、MySQL、HTML、JavaScript贊助提升專業能力"," 未填寫 ","https://www.104.com.tw/job/73p52?jobsource=jolist_b_relevance"
"台北市大同區","待遇面議"," 電機電子工程相關、資訊工程相關 ","Android、iOS、C、C++、Java、Python、Visual C#、MS SQL贊助提升專業能力"," 【個人特質】
- 願意與他人協同合作共同討論設計方向及問題，並有獨立開發能力
- 心態開放、善於溝通、勇於嘗試新的技術不斷追求進步
- 善解人意、有責任感、願意學習更多知識是必要條件 ","https://www.104.com.tw/job/6g0ga?jobsource=jolist_b_relevance"
"台北市內湖區","待遇面議"," 不拘 ","Node.js贊助提升專業能力"," 【Qualifications】
1.熟悉node.js，熟悉express.js或其他web應用架構。
2.熟悉typescript
3.理解RESTful API的路由設計風格
4.理解如何實作能負荷高併發之需求的網站 ","https://www.104.com.tw/job/6nujn?jobsource=jolist_b_relevance"
"台北市松山區","待遇面議"," 不拘 ","JavaScript、Node.js贊助提升專業能力"," Tools & Technologies
●	Environment: Node.js
●	Testing: Jest, Cypress
●	API: Apollo Graphql, TypeGraphQL, Express.js
●	Data: Sequelize, PostgreSQL
●	Deployment: AWS, Docker, Kubernetes
●	Caching: Redis
●	Others: Rx.js, TypeDI, JWT, Lodash, RabbitMQ
●	CI: Jenkins

Bonus
●	Knowledge of Java and/or Go language is a big plus
●	In-depth understanding of concurrency programming ","https://www.104.com.tw/job/75sf4?jobsource=jolist_b_relevance"
"台北市松山區","待遇面議"," 不拘 "," 不拘 "," 加分項目
1.	具備大型SOA架構或Microservice專案開發經驗。
2.	有 Google Cloud Platform 使用經驗。 
3.	Docker & Kubernetes使用經驗。
4.	具備購物網站/電子商務平台開發與維護經驗或有興趣者佳。 
5.	具有團隊領導主管經驗者，提升團隊綜合生產能力，培養高素質研發人才。 ","https://www.104.com.tw/job/6nqcs?jobsource=jolist_b_relevance"
